uuid,codigo,fecha,lluvia_acu
967172e9b95a798a81a13d189843a431ea4654afc1d6958dd1ce5a6017dcc473,C419X,2024-04-07 16:00:00+00:00,0.0
3a720764b05cbe7aac23af0d44e8fe1c0a8ef12975964d8c48f4d7340ea78433,C419X,2024-04-07 17:00:00+00:00,0.0
738bf38ba0b1277f1a622fc727a48f6438bbadbf5c9a00a6132c61f81e5f55b5,C419X,2024-04-07 18:00:00+00:00,0.0
553f9e7a06eecffd30c38fd741a1acae7bb30faf8684893441a9adc39091d3c0,C419X,2024-04-07 19:00:00+00:00,0.0
b794d71a9a1df0bd3cf8cfba25c476d7449a7ae8a96ce13015c6295a6df9ed9f,C419X,2024-04-07 20:00:00+00:00,0.0
f11bb48dc60b0add7689a00584dbd9a874b146ae55981e6401e25df00e9c0d42,C419X,2024-04-07 21:00:00+00:00,0.0
41e4b308c978f1d1dabbb2d38154bf235e53694381ad16ce29fad5af3e49c1fd,C419X,2024-04-07 22:00:00+00:00,0.0
4b39351ea98c5ba82a8bc0f2f14dc0af052fb9655006f63547f9330726bcfc11,C419X,2024-04-07 23:00:00+00:00,0.0
09b9465c0ee24171053da880f73012c8452e0d979050b2411d02e14d94a8dfab,C419X,2024-04-08 00:00:00+00:00,0.0
861711ae65d277504e74acb9a94e6b7f7a6f109b2b8011a04e965729fab022f4,C419X,2024-04-08 01:00:00+00:00,0.0
690e2ba97c6e7a4d9ed9c9ad28cdfc9036aa0896857fcd6125811625d2bcd2b5,C419X,2024-04-08 02:00:00+00:00,0.0
063a0230262dd2e9518cabc0d63fb4facc2a951da44fb6540ba34a91d2aa68bd,C419X,2024-04-08 03:00:00+00:00,0.0
da1cf1009d98bf31e1d7f65c0ec7512ed07f476b14345fc9d4e14703fcfa2414,C419X,2024-04-08 04:00:00+00:00,0.0
1ecce7d834ceeb85f0f609b66158b337e3e312217b46416dbe330f5106c1522e,C419X,2024-04-08 05:00:00+00:00,0.0
94a86402932ad72c29ed95d4338ab26052b5ec4bbe6705821d928990ee2fb945,C419X,2024-04-08 06:00:00+00:00,0.0
53b551998bb4a0bc9edb2e58f45803f4bc4dc9419605e88077987faff1159dc8,C419X,2024-04-08 07:00:00+00:00,0.0
eb471ad6e48a09e3a8ad1da68680bff12695d129b89ee7a2f65b6ac16b599823,C419X,2024-04-08 08:00:00+00:00,0.0
951ad2ee5f2d1676a91a2394ee5f706709c05068965825dc8702a53f71a84d53,C419X,2024-04-08 09:00:00+00:00,0.0
69fb9612deca808314af3714a7714ce630f6aab310aa81b6744c8ba790e05d82,C419X,2024-04-08 10:00:00+00:00,0.0
c538313138613fc9237f8a7c0c15764474f49423f355cdf7d2df6b4ef0352ac0,C419X,2024-04-08 11:00:00+00:00,0.0
878a0a9e57bfdda20959ee8e5b1b86be11754c9270459695754bbeac0910fba5,C419X,2024-04-08 12:00:00+00:00,0.0
3ee1ac1caeb6736c0d480707a0c372920016bf1d098d85e4a0aea9ea72a27e89,C419X,2024-04-08 13:00:00+00:00,0.0
3d738779c48467d769ce8d6c64d7ecad873f61e001b1e4ca05c0c30300f6b1c4,C429I,2024-04-07 16:00:00+00:00,0.0
a7f6f08e11e8110b4dab7c1120f16ea354d1617c37e83caacebbac0ab8382a27,C429I,2024-04-07 17:00:00+00:00,0.0
2287aaa1af84114e2eeb89caeb711f892ffc019b5a8bc21950cf82dcd722225a,C429I,2024-04-07 18:00:00+00:00,0.0
3494efaa4568a688aa7d27fe35b902629b48d68854e89b96cfb8c9614dfeecc0,C429I,2024-04-07 19:00:00+00:00,0.0
e353d602f9fa4b4829dbefdf2c0dd43901b2482519878199772360ebee8f3f3f,C429I,2024-04-07 20:00:00+00:00,0.0
2c62b7ba2f1bcce463f3c596d83f330ee0f008244cc327937d704c837ce615cb,C429I,2024-04-07 21:00:00+00:00,0.0
f391af2d8a17d71e845d94e9644a3824d6041b12488b54152c73645d814e0528,C429I,2024-04-07 22:00:00+00:00,0.0
f969913e60cb93356f7fd5722561a8b79e127eec1d84a3613d6e820b5eb67054,C429I,2024-04-07 23:00:00+00:00,0.0
b75a5d141cbb3306f7d7d5dd786fabfc03844718c4fa116f066b166071bc2c93,C429I,2024-04-08 00:00:00+00:00,0.0
3f8d09541003228df1ee9420bb5ab9e1a20158d5512c0774fd808e7110a2fb4c,C429I,2024-04-08 01:00:00+00:00,0.0
1de4b47d1f300711cf274c3166e1287e92086972aba28061359522885e5bd139,C429I,2024-04-08 02:00:00+00:00,0.0
499426de6a998cb935a038bbd366eeca358339db46bbbe30692162fa3706df66,C429I,2024-04-08 03:00:00+00:00,0.0
b083a374cec7866b5b0f8907f1106e87954b7d7d806e010a87b6aca81712f252,C429I,2024-04-08 04:00:00+00:00,0.0
1b504cd8ae12cd2716891ddc21156ff58c44ee5458eaf0639760331a5cfa5211,C429I,2024-04-08 05:00:00+00:00,0.0
54c553bd980c9bc5e6bb82646f31553cd3351fa07b5942e23282bce9248f5c05,C429I,2024-04-08 06:00:00+00:00,0.0
e1dc2fd3f44cf5874e5ed6ba18b534c5c2d073045a5830f7a811bae1d2deb175,C429I,2024-04-08 07:00:00+00:00,0.0
82c42f25e7524b1e0cad07bce16ce86609c6ee066676cf4cd998b96796379159,C429I,2024-04-08 08:00:00+00:00,0.0
ebdcaac9c3b17b69610678fc595de4d3c0db6fc4728e59bb87a0f0747cf012fc,C429I,2024-04-08 09:00:00+00:00,0.0
14cb917ab1a6a7e44a349d236e7788f594e2c59cf516251277aadf87fd1cc82d,C429I,2024-04-08 10:00:00+00:00,0.0
